CompTime,RUNDATE,REPORT,DOMAIN,AH_NAME,COMPLETETIME,SLA,Number_of_Records
0:49,7/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,7/10/2021 0:49,1:30,1
0:50,7/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,7/10/2021 0:50,1:30,1
1:08,7/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,7/10/2021 1:08,2:30,1
0:50,6/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,6/10/2021 0:50,1:30,1
0:53,6/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,6/10/2021 0:53,1:30,1
0:59,6/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,6/10/2021 0:59,2:30,1
0:45,5/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,5/10/2021 0:45,1:30,1
0:46,5/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,5/10/2021 0:46,1:30,1
1:07,5/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,5/10/2021 1:07,2:30,1
0:41,4/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,4/10/2021 0:41,1:30,1
0:45,4/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,4/10/2021 0:45,1:30,1
0:55,4/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,4/10/2021 0:55,2:30,1
0:44,3/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,3/10/2021 0:44,1:30,1
0:46,3/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,3/10/2021 0:46,1:30,1
0:53,3/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,3/10/2021 0:53,2:30,1
0:40,2/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,2/10/2021 0:40,1:30,1
0:45,2/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,2/10/2021 0:45,1:30,1
0:47,2/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,2/10/2021 0:47,2:30,1
0:46,1/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,1/10/2021 0:46,1:30,1
0:49,1/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,1/10/2021 0:49,1:30,1
0:58,1/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,1/10/2021 0:58,2:30,1
0:45,30/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,30/09/21 0:45,1:30,1
0:49,30/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,30/09/21 0:49,1:30,1
0:54,30/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,30/09/21 0:54,2:30,1
0:48,29/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,29/09/21 0:48,1:30,1
1:06,29/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,29/09/21 1:06,1:30,1
1:15,29/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,29/09/21 1:15,2:30,1
0:47,28/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,28/09/21 0:47,1:30,1
0:50,28/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,28/09/21 0:50,1:30,1
0:57,28/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,28/09/21 0:57,2:30,1
0:41,27/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,27/09/21 0:41,1:30,1
0:45,27/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,27/09/21 0:45,1:30,1
0:47,27/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,27/09/21 0:47,2:30,1
0:39,26/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,26/09/21 0:39,1:30,1
0:45,26/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,26/09/21 0:45,1:30,1
0:50,26/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,26/09/21 0:50,2:30,1
0:39,25/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,25/09/21 0:39,1:30,1
0:46,25/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,25/09/21 0:46,1:30,1
0:52,25/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,25/09/21 0:52,2:30,1
0:45,24/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,24/09/21 0:45,1:30,1
0:46,24/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,24/09/21 0:46,1:30,1
0:53,24/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,24/09/21 0:53,2:30,1
0:42,23/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,23/09/21 0:42,1:30,1
0:46,23/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,23/09/21 0:46,1:30,1
0:53,23/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,23/09/21 0:53,2:30,1
0:44,22/09/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,22/09/21 0:44,1:30,1
0:45,22/09/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,22/09/21 0:45,1:30,1
0:55,22/09/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,22/09/21 0:55,2:30,1
